Title,Relevant,Reason for relevancy,Reviewer 2,Source,Search String,Search Criteria,Publication or Preprints,English,Tool,Less than 8 pages,No Empirical Data,Secondary Studies,Tool Available,Tool Installed/Executed,Repo Link,Quantitative evaluation,User study,Traditional Method,Deep Learning,LLM,Traces,Logs,Metrics,Other Data Type,Anomaly Type Discussed,
Knowledge-aware Alert Aggregation in Large-scale Cloud Systems: a Hybrid Approach (2024),Yes?,,,Arxiv,"software AND microservice* AND (anomal* OR bug OR event) AND (""large language model*"" OR ""gen* ai"" OR ""foundation model*"" OR LLM OR GPT OR chatbot) AND (trac* OR log* OR metric*)",None,Yes,Yes,Yes,No,No,No,0,,,,,,,,,,,,,
Large Language Models can Deliver Accurate and Interpretable Time Series Anomaly Detection (2024),Yes,,,,,,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
mABC: multi-Agent Blockchain-Inspired Collaboration for root cause analysis in micro-services architecture (2024),Yes,,,,,,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
"LLM-Based Kubernetes Misconfiguration Detection, Localization, Reasoning, and Remediation (2024)",Yes,,,,,,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
Automated Root Causing of Cloud Incidents using In-Context Learning with GPT-4 (2024),Yes,,,,,,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
RCAgent: Cloud Root Cause Analysis by Autonomous Agents with Tool-Augmented Large Language Models (2023),Yes,,,,,,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
Hierarchical Fault Profiling of Incident Tickets in Large-scale Cloud Systems (2024),Yes,,,,,,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
Empowering Incident Management with Query Recommendations via Large Language Models (2023),Yes,,,,,,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
Exploring LLM-based Agents for Root Cause Analysis (2024),Yes,,,,,,Yes,Yes,Yes,No,No,Yes,,,,,,,,,,,,,,
X-lifecycle Learning for Cloud Incident Management using LLMs (2024),Yes,,,,,,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
Learning Representations on Logs for AIOps (2023),Yes,,,,,,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
LogGPT: Exploring ChatGPT for Log-Based Anomaly Detection (2023),Yes,,,,,,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
Multi-modal Causal Structure Learning and Root Cause Analysis (2024),Yes,,,,,,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
Few-Shot Cross-System Anomaly Trace Classification for Microservice-based systems (2024),Yes,,,,,,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
Log-based Anomaly Detection based on EVT Theory with feedback (2023),Yes,,,,,,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
Robust Failure Diagnosis of Microservice System through Multimodal Data (2023),Yes,,,,,,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
MLAD: A Unified Model for Multi-system Log Anomaly Detection (2024),Yes,,,,,,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
Prompting for Automatic Log Template Extraction (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
Log-based Anomaly Detection of Enterprise Software: An Empirical Study (2023),Yes,,,,,,Yes,Yes,Yes,No,No,Yes,,,,,,,,,,,,,,
Anubis: Towards Reliable Cloud AI Infrastructure via Proactive Validation (2024),No,,,,,,,,,,,,,,,,,,,,,,,,,
TimeSeriesBench: An Industrial-Grade Benchmark for Time Series Anomaly Detection Models (2024),No,,,,,,,,,,,,,,,,,,,,,,,,,
Intelligent Monitoring Framework for Cloud Services: A Data-Driven Approach (2024),No,,,,,,,,,,,,,,,,,,,,,,,,,
Computational Job Market Analysis with Natural Language Processing (2024),No,,,,,,,,,,,,,,,,,,,,,,,,,
LLMs for Cyber Security: New Opportunities (2024),No,,,,,,,,,,,,,,,,,,,,,,,,,
"A Survey of Neural Code Intelligence: Paradigms, Advances and Beyond (2024)",No,,,,,,,,,,,,,,,,,,,,,,,,,
"Leveraging Generative AI for Smart City Digital Twins: A Survey on the Autonomous Generation of Data, Scenarios, 3D City Models, and Urban Designs (2024)",No,,,,,,,,,,,,,,,,,,,,,,,,,
Large Language Models for Forecasting and Anomaly Detection: A Systematic Literature Review (2024),No,,,,,,,,,,,,,,,,,,,,,,,,,
Research on Foundation Model for Spatial Data Intelligence: China's 2024 White Paper on Strategic Development of Spatial Data Intelligence (2024),No,,,,,,,,,,,,,,,,,,,,,,,,,
From Today's Code to Tomorrow's Symphony: The AI Transformation of Developer's Routine by 2030 (2024),No,,,,,,,,,,,,,,,,,,,,,,,,,
Large language models in 6G security: challenges and opportunities (2024),No,,,,,,,,,,,,,,,,,,,,,,,,,
A Large Language Model-Based Goal-Oriented Agent for Autonomous Space Exploration (2024),No,,,,,,,,,,,,,,,,,,,,,,,,,
AI for DevSecOps: A Landscape and Future Opportunities (2024),No,,,,,,,,,,,,,,,,,,,,,,,,,
Flying Drones with Large Language Model (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
LLM-Based Multi-Agent Framework for GitHub Issue Resolution (2024),No,,,,,,,,,,,,,,,,,,,,,,,,,
GoEX: Perspectives and Designs Towards a Runtime for Autonomous LLM Applications (2024),No,,,,,,,,,,,,,,,,,,,,,,,,,
"Large Language Models for Networking: Workflow, Advances and Challenges (2024)",No,,,,,,,,,,,,,,,,,,,,,,,,,
Teaching Machines to Code: Smart Contract Translation with LLMs (2024),No,,,,,,,,,,,,,,,,,,,,,,,,,
CodeFuse-13B: A Pretrained Multi-lingual Code Large Language Model (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
Generative Artificial Intelligence for Software Engineering -- A Research Agenda (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
A Study of Bugs Introduced by Large Language Models while Translating Code (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
Artificial General Intelligence (AGI)-Native Wireless Systems: A Journey Beyond 6G (2024),No,,,,,,,,,,,,,,,,,,,,,,,,,
Automatic Root Cause Analysis via Large Language Models for Cloud Incidents (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
On a Foundation Model for Operating Systems (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
High-level Stream Processing: A Complementary Analysis of Fault Recovery (2024),No,,,,,,,,,,,,,,,,,,,,,,,,,
A Systematic Literature Review on Explainability for Machine/Deep Learning-based Software Engineering Research (2024),No,,,,,,,,,,,,,,,,,,,,,,,,,
An Empirical Study of Challenges in Machine Learning Asset Management (2024),No,,,,,,,,,,,,,,,,,,,,,,,,,
ChatGPT: A Study on its Utility for Ubiquitous Software Engineering Tasks (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
"Towards Message Brokers for Generative AI: Survey, Challenges, and Opportunities (2023)",No,,,,,,,,,,,,,,,,,,,,,,,,,
"In industrial embedded software, are some compilation errors easier to localize and fix than others? (2024)",No,,,,,,,,,,,,,,,,,,,,,,,,,
LILAC: Log Parsing using LLMs with Adaptive Parsing Cache (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
The Feasibility of Implementing Large-Scale Transformers on Multi-FPGA Platforms (2024),No,,,,,,,,,,,,,,,,,,,,,,,,,
"Industrial Metaverse: Enabling Technologies, Open Problems, and Future Trends (2024)",No,,,,,,,,,,,,,,,,,,,,,,,,,
Neural Fault Injection: Generating Software Faults from Natural Language (2024),No,,,,,,,,,,,,,,,,,,,,,,,,,
HowkGPT: Investigating the Detection of ChatGPT-generated University Student Homework through Context-Aware Perplexity Analysis (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
"Fictional Worlds, Real Connections: Developing Community Storytelling Social Chatbots through LLMs (2023)",No,,,,,,,,,,,,,,,,,,,,,,,,,
Splitwise: Efficient generative LLM inference using phase splitting (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
Concept-1K: A Novel Benchmark for Instance Incremental Learning (2024),No,,,,,,,,,,,,,,,,,,,,,,,,,
Foundation Models for Fairness-aware Multi-modal Data Augmentation to Enhance Coverage of Minorities (2024),No,,,,,,,,,,,,,,,,,,,,,,,,,
PerOS: Personalized Self-Adapting Operating Systems in the Cloud (2024),No,,,,,,,,,,,,,,,,,,,,,,,,,
On the Opportunities of Green Computing: A Survey (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
Are They All Good? Studying Practitioners' Expectations on the Readability of Log Messages (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
Autonomous Vehicles: Evolution of Artificial Intelligence and Learning Algorithms (2024),No,,,,,,,,,,,,,,,,,,,,,,,,,
A Meta-Operating System for Distributed Computing Across Heterogeneous Platform (2024),No,,,,,,,,,,,,,,,,,,,,,,,,,
Behind the Intent of Extract Method Refactoring: A Systematic Literature Review (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
"A Modular, End-to-End Next-Generation Network Testbed: Towards a Fully Automated Network Management Platform (2024)",No,,,,,,,,,,,,,,,,,,,,,,,,,
Conceptual Framework for Autonomous Cognitive Entities (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
Graphene: Infrastructure Security Posture Analysis with AI-generated Attack Graphs (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
Edge AI for Internet of Energy: Challenges and Perspectives (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
"Repeatability, Reproducibility, Replicability, Reusability (4R) in Journals' Policies and Software/Data Management in Scientific Publications: A Survey, Discussion, and Perspectives (2023)",No,,,,,,,,,,,,,,,,,,,,,,,,,
Secure and Trustworthy Computing 2.0 Vision Statement (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
On-Premise AIOps Infrastructure for a Software Editor SME: An Experience Report (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
Socialized Learning: A Survey of the Paradigm Shift for Edge Intelligence in Networked Systems (2024),No,,,,,,,,,,,,,,,,,,,,,,,,,
Autonomous Threat Hunting: A Future Paradigm for AI-Driven Threat Intelligence (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
Ethical Aspects of ChatGPT in Software Engineering Research (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
Towards providing reliable job completion time predictions using PCS (2024),No,,,,,,,,,,,,,,,,,,,,,,,,,
Towards Human-Bot Collaborative Software Architecting with ChatGPT (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
Neuromorphic hardware for sustainable AI data centers (2024),No,,,,,,,,,,,,,,,,,,,,,,,,,
BeeFlow: Behavior Tree-based Serverless Workflow Modeling and Scheduling for Resource-Constrained Edge Clusters (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
"AI for IT Operations (AIOps) on Cloud Platforms: Reviews, Opportunities and Challenges (2023)",No,,,,,,,,,,,,,,,,,,,,,,,,,
A Composable Just-In-Time Programming Framework with LLMs and FBP (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
Survey of Federated Learning Models for Spatial-Temporal Mobility Applications (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
Tackling Cyberattacks through AI-based Reactive Systems: A Holistic Review and Future Vision (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
Real-world Machine Learning Systems: A survey from a Data-Oriented Architecture Perspective (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
DeepTrust: A Reliable Financial Knowledge Retrieval Framework For Explaining Extreme Pricing Anomalies (2022),No,,,,,,,,,,,,,,,,,,,,,,,,,
Automated Grading and Feedback Tools for Programming Education: A Systematic Review (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
Design and Implementation Considerations for a Virtual File System Using an Inode Data Structure (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
Lovelock: Towards Smart NIC-hosted Clusters (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
Microservice API Evolution in Practice: A Study on Strategies and Challenges (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
A data science platform to enable time-domain astronomy (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
In-Storage Domain-Specific Acceleration for Serverless Computing (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
"Awareness in robotics: An early perspective from the viewpoint of the EIC Pathfinder Challenge ""Awareness Inside'' (2024)",No,,,,,,,,,,,,,,,,,,,,,,,,,
Real-time Workload Pattern Analysis for Large-scale Cloud Databases (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
SmartState: A Protocol-driven Human Interface (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
Open Tracing Tools: Overview and Critical Comparison (2022),No,,,,,,,,,,,,,,,,,,,,,,,,,
Challenges and Barriers of Using Low Code Software for Machine Learning (2022),No,,,,,,,,,,,,,,,,,,,,,,,,,
An Empirical Study of IoT Security Aspects at Sentence-Level in Developer Textual Discussions (2022),No,,,,,,,,,,,,,,,,,,,,,,,,,
"ChatGPT Prompt Patterns for Improving Code Quality, Refactoring, Requirements Elicitation, and Software Design (2023)",No,,,,,,,,,,,,,,,,,,,,,,,,,
AI Techniques in the Microservices Life-Cycle: A Survey (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
Enabling All In-Edge Deep Learning: A Literature Review (2022),No,,,,,,,,,,,,,,,,,,,,,,,,,
AI Augmented Edge and Fog Computing: Trends and Challenges (2022),No,,,,,,,,,,,,,,,,,,,,,,,,,
Confidential Computing across Edge-to-Cloud for Machine Learning: A Survey Study (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
"An approach to standardize, automate omni-channel and AI transactional digital service creation (2022)",No,,,,,,,,,,,,,,,,,,,,,,,,,
Artificial Intelligence for the Metaverse: A Survey (2022),No,,,,,,,,,,,,,,,,,,,,,,,,,
Insights into Software Development Approaches: Mining Q&A Repositories (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
"AI and 6G into the Metaverse: Fundamentals, Challenges and Future Research Trends (2022)",No,,,,,,,,,,,,,,,,,,,,,,,,,
TinyMLOps: Operational Challenges for Widespread Edge AI Adoption (2022),No,,,,,,,,,,,,,,,,,,,,,,,,,
The Case for a Wholistic Serverless Programming Paradigm and Full Stack Automation for AI and Beyond -- The Philosophy of Jaseci and Jac (2022),No,,,,,,,,,,,,,,,,,,,,,,,,,
Guarding Serverless Applications with SecLambda (2020),No,,,,,,,,,,,,,,,,,,,,,,,,,
HIVA: Holographic Intellectual Voice Assistant (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
Workflows Community Summit 2022: A Roadmap Revolution (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
"Intelligent Computing: The Latest Advances, Challenges and Future (2022)",No,,,,,,,,,,,,,,,,,,,,,,,,,
The MIT Voice Name System (2022),No,,,,,,,,,,,,,,,,,,,,,,,,,
An Empirical Study of Developer Discussions on Low-Code Software Development Challenges (2021),No,,,,,,,,,,,,,,,,,,,,,,,,,
Data Curation and Quality Assurance for Machine Learning-based Cyber Intrusion Detection (2021),No,,,,,,,,,,,,,,,,,,,,,,,,,
A Unified Cloud-Enabled Discrete Event Parallel and Distributed Simulation Architecture (2023),No,,,,,,,,,,,,,,,,,,,,,,,,,
A Multi-Vocal Review of Security Orchestration (2020),No,,,,,,,,,,,,,,,,,,,,,,,,,
Developer Discussion Topics on the Adoption and Barriers of Low Code Software Development Platforms (2022),No,,,,,,,,,,,,,,,,,,,,,,,,,
Architecture Decisions in AI-based Systems Development: An Empirical Study (2022),No,,,,,,,,,,,,,,,,,,,,,,,,,
A Comparison of Natural Language Understanding Platforms for Chatbots in Software Engineering (2020),No,,,,,,,,,,,,,,,,,,,,,,,,,
A Comprehensive Study on Artificial Intelligence Algorithms to Implement Safety Using Communication Technologies (2022),No,,,,,,,,,,,,,,,,,,,,,,,,,
Software Engineering for AI-Based Systems: A Survey (2021),No,,,,,,,,,,,,,,,,,,,,,,,,,
Quantitative Analysis of Cloud Function Evolution in the AWS Serverless Application Repository (2019),No,,,,,,,,,,,,,,,,,,,,,,,,,
"A Survey on Data Plane Programming with P4: Fundamentals, Advances, and Applied Research (2021)",No,,,,,,,,,,,,,,,,,,,,,,,,,
How Do I Refactor This? An Empirical Study on Refactoring Trends and Topics in Stack Overflow (2021),No,,,,,,,,,,,,,,,,,,,,,,,,,
Blockchain Application Development Using Model-Driven Engineering and Low-Code Platforms: A Survey (2022),No,,,,,,,,,,,,,,,,,,,,,,,,,
"The server is dead, long live the server: Rise of Serverless Computing, Overview of Current State and Future Trends in Research and Industry (2019)",No,,,,,,,,,,,,,,,,,,,,,,,,,
"Architectural Middleware that Supports Building High-performance, Scalable, Ubiquitous, Intelligent Personal Assistants (2019)",No,,,,,,,,,,,,,,,,,,,,,,,,,
A Serverless Publish/Subscribe System (2022),No,,,,,,,,,,,,,,,,,,,,,,,,,
A Manifesto for Future Generation Cloud Computing: Research Directions for the Next Decade (2017),No,,,,,,,,,,,,,,,,,,,,,,,,,
"Semantic Web in Healthcare: A Systematic Literature Review of Application, Research Gap, and Future Research Avenues (2022)",No,,,,,,,,,,,,,,,,,,,,,,,,,
Attention-Based Model and Deep Reinforcement Learning for Distribution of Event Processing Tasks (2021),No,,,,,,,,,,,,,,,,,,,,,,,,,
Formalizing Event-Driven Behavior of Serverless Applications (2019),No,,,,,,,,,,,,,,,,,,,,,,,,,
Status of Serverless Computing and Function-as-a-Service(FaaS) in Industry and Research (2017),No,,,,,,,,,,,,,,,,,,,,,,,,,
Application of HL7 FHIR in a Microservice Architecture for Patient Navigation on Registration and Appointments (2021),No,,,,,,,,,,,,,,,,,,,,,,,,,
DHLink: A Microservice Platform supporting Rapid Application Development and Secure Real-time Data Sharing in Digital Health (2021),No,,,,,,,,,,,,,,,,,,,,,,,,,
Scalable and Secure Architecture for Distributed IoT Systems (2020),No,,,,,,,,,,,,,,,,,,,,,,,,,
Hazelcast Jet: Low-latency Stream Processing at the 99.99th Percentile (2021),No,,,,,,,,,,,,,,,,,,,,,,,,,
Formal Foundations of Serverless Computing (2019),No,,,,,,,,,,,,,,,,,,,,,,,,,
Improving Robustness of Heterogeneous Serverless Computing Systems Via Probabilistic Task Pruning (2019),No,,,,,,,,,,,,,,,,,,,,,,,,,
"Serverless Computing: A Survey of Opportunities, Challenges and Applications (2019)",No,,,,,,,,,,,,,,,,,,,,,,,,,
Serverless Computing: Current Trends and Open Problems (2017),No,,,,,,,,,,,,,,,,,,,,,,,,,
Function-as-a-Service (FaaS) Runtime Design and Implementation (2017),No,,,,,,,,,,,,,,,,,,,,,,,,,
A Conversational Digital Assistant for Intelligent Process Automation (2020),No,,,,,,,,,,,,,,,,,,,,,,,,,
Unleashing the power of disruptive and emerging technologies amid COVID-19: A detailed review (2020),No,,,,,,,,,,,,,,,,,,,,,,,,,
An Overview of Blockchain Integration with Robotics and Artificial Intelligence (2018),No,,,,,,,,,,,,,,,,,,,,,,,,,
Serving deep learning models in a serverless platform (2017),No,,,,,,,,,,,,,,,,,,,,,,,,,
,17,,,,,Rejected,0,0,0,0,0,2,,,,,,,,,,,,,,